"","Araneae","Acari","Curculionidae","Staphylinidae","Anthicidae","Erotylidae","Cryptophagidae","Latridiidae","Coccinellidae","Lampyridae","Chrysomelidae","Nitidulidae","Coccinellidae.Larvae","Erotylidae.Larvae","Collembola","Cecidomyiidae","Phoridae","Ceratopogonidae","Chironomidae","Culicidae","Chaoboridae","Dolichopodidae","Empididae","Psychodidae","Ephydridae","Carnidae","Sciomyzidae","Ulidiidae","Chloropidae","Agromyzidae","Drosophilidae","Muscidae","Anthomyiidae","Calliphoridae","Stratiomyidae","Tabanidae","Tipulidae","Dixidae","Syrphidae","Caenidae","Pteromalidae","Eulophidae","Aphelinidae","Ceraphronidae","Scelionidae","Platygastridae","Braconidae","Ichneumonidae","Formicidae","Diapriidae","Sphecidae","Crabronidae","Mymaridae","Aphididae","Cicadellidae","Anthocoridae","Miridae","Hemerobiidae","Libellulidae","Lestidae","Coenagrionidae","Thysanoptera","Hydroptilidae","Leptoceridae","Molannidae","Polycentropodidae","Phryganeidae","Limnephilidae","Psocoptera","Cosmopterigidae","Gracillariidae","Noctuidae","Crambidae"
"1",0.0140845070422535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0909090909090909,0.00422297297297297,0.015242242787153,0.0185185185185185,0,0.181818181818182,0,0,0,0,0,0,0.2,0,0.333333333333333,0.428571428571429,0,0,0,0,0.333333333333333,0,0,0,0,0.116883116883117,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0.00173310225303293,0,0,0,0.5,0,0,0,0,0,0.0606060606060606,0,0,0,0,0,0,0,0,0
"2",0.0140845070422535,0,0,0.5,0,0.2,0,0,0,0,0.25,0,0,0,0,0,0,0,0.0244964616222101,0.037037037037037,0,0.909090909090909,0,1,0.0714285714285714,1,0,1,0,0,0,1,0,0,0,0,0,0,0.333333333333333,0,0,0.0194805194805195,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.0277777777777778,0,0,0.0303030303030303,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00591216216216216,0.00925421883505716,0,0,0.454545454545455,0,0,0,0.333333333333333,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.0974025974025974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025974025974026,0.0303030303030303,0,0,0,0,0,0,0,0,0
"4",0,0.137931034482759,0.5,0,0,0.4,0,0,0.2,0,0,0,0,0,0,0,0,0.00337837837837838,0.123571039738704,0,0,0.272727272727273,0,0,0.142857142857143,0.333333333333333,0,0.5,0.8,0,0.333333333333333,0,0,0,0,0,0,1,0,0.0384615384615385,0,1,0,0,0.272727272727273,0,0.4,0,0,0,0,0,0,0.00519930675909879,0,0,0,1,0,0,0,0,0,0.0303030303030303,0,0,0,0,0,0,0,0,0
"5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00381056069678824,0.037037037037037,0,0.0909090909090909,0,0,0,0.666666666666667,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0.0324675324675325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277777777777778,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0.2,0,1,0,0,0,0,0,0,0.0135135135135135,0.035383777898748,0,0,0.0909090909090909,0,0.5,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0.75,0.142857142857143,0,0,1,0,0.2,0,0,0,0,0,0,0.000866551126516464,0,0,0.5,0,0,0,0,0,0,0.0303030303030303,0,0,0,0,0,0,0,0,0
"7",0.0563380281690141,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0.0146978769733261,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038961038961039,0,0,0,0,0,0,0,0,0,0,0,0.000866551126516464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125204137180185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194805194805195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051948051948052,0.0303030303030303,0.142857142857143,0,0,0,0,0,0,0,0
"9",0.0140845070422535,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.000844594594594595,0.0517147523135547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303030303030303,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000844594594594595,0.31355470876429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00649350649350649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235294117647,0,0.0606060606060606,0,0,0,0,0,0,0,0,0
